day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;VELVETFRUIT_EXTRACT;5242;54;;;;;5248;54;;;;;5245.0;0.0
1;0;HYDROGEL_PACK;9950;13;9947;23;;;9966;13;9968;23;;;9958.0;0.0
1;0;VEV_6000;0;22;;;;;1;22;;;;;0.5;0.0
1;0;VEV_5000;248;19;;;;;254;6;255;13;;;251.0;0.0
1;0;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
1;0;VEV_5300;46;22;;;;;48;22;;;;;47.0;0.0
1;0;VEV_5400;16;22;;;;;17;22;;;;;16.5;0.0
1;0;VEV_4000;1235;15;1232;27;;;1255;15;1258;27;;;1245.0;0.0
1;0;VEV_5100;163;19;;;;;167;6;168;13;;;165.0;0.0
1;0;VEV_5200;94;19;;;;;97;19;;;;;95.5;0.0
1;0;VEV_5500;7;22;;;;;8;22;;;;;7.5;0.0
1;0;VEV_4500;737;6;735;13;;;753;6;755;13;;;745.0;0.0
1;100;VEV_5000;249;6;248;19;;;255;6;256;19;;;252.0;0.0
1;100;VEV_6000;0;19;;;;;1;19;;;;;0.5;0.0
1;100;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
1;100;VEV_5300;46;19;;;;;48;19;;;;;47.0;0.0
1;100;VEV_5400;16;19;;;;;17;19;;;;;16.5;0.0
1;100;VEV_4000;1235;7;1233;20;;;1256;7;1259;20;;;1245.5;0.0
1;100;VEV_5100;164;6;163;19;;;168;25;;;;;166.0;0.0
1;100;VEV_5200;95;6;94;19;;;98;25;;;;;96.5;0.0
1;100;HYDROGEL_PACK;9953;15;9950;21;;;9969;15;9971;21;;;9961.0;0.0
1;100;VEV_5500;7;19;;;;;8;19;;;;;7.5;0.0
1;100;VEV_4500;738;6;736;19;;;754;6;756;19;;;746.0;0.0
1;100;VELVETFRUIT_EXTRACT;5243;56;;;;;5248;20;5249;36;;;5245.5;0.0
1;200;VEV_6500;0;15;;;;;1;15;;;;;0.5;0.0
1;200;VEV_5300;46;20;;;;;48;5;49;15;;;47.0;0.0
1;200;VEV_5400;16;20;;;;;17;5;18;15;;;16.5;0.0
1;200;VEV_4000;1236;13;1233;26;;;1257;13;1259;26;;;1246.5;0.0
1;200;VEV_5100;164;8;163;23;;;168;8;169;23;;;166.0;0.0
1;200;VEV_5200;95;31;;;;;98;31;;;;;96.5;0.0
1;200;VEV_5500;7;20;;;;;8;20;;;;;7.5;0.0
1;200;VEV_4500;738;8;736;23;;;754;8;756;23;;;746.0;0.0
1;200;VELVETFRUIT_EXTRACT;5244;21;5243;36;;;5249;57;;;;;5246.5;0.0
1;200;HYDROGEL_PACK;9953;14;9951;21;;;9969;14;9972;21;;;9961.0;0.0
1;200;VEV_5000;249;31;;;;;255;8;256;23;;;252.0;0.0
1;200;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
1;300;VEV_5500;7;21;;;;;8;21;;;;;7.5;0.0
1;300;VEV_4500;739;9;738;17;;;755;9;757;17;;;747.0;0.0
1;300;VELVETFRUIT_EXTRACT;5245;18;5244;38;;;5250;56;;;;;5247.5;0.0
1;300;VEV_5000;251;9;250;17;;;257;26;;;;;254.0;0.0
1;300;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
1;300;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
1;300;VEV_5300;47;21;;;;;49;21;;;;;48.0;0.0
1;300;VEV_5400;16;21;;;;;18;21;;;;;17.0;0.0
1;300;VEV_4000;1237;15;1234;16;;;1258;15;1260;16;;;1247.5;0.0
1;300;VEV_5100;165;9;164;17;;;169;9;170;17;;;167.0;0.0
1;300;VEV_5200;96;9;95;17;;;99;26;;;;;97.5;0.0
1;300;HYDROGEL_PACK;9952;15;9950;26;;;9968;15;9971;26;;;9960.0;0.0
1;400;VELVETFRUIT_EXTRACT;5245;23;5244;46;;;5250;23;5251;46;;;5247.5;0.0
1;400;HYDROGEL_PACK;9953;10;9951;26;;;9969;10;9972;26;;;9961.0;0.0
1;400;VEV_5000;251;10;250;22;;;257;32;;;;;254.0;0.0
1;400;VEV_6000;0;25;;;;;1;25;;;;;0.5;0.0
1;400;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
1;400;VEV_5300;47;25;;;;;49;25;;;;;48.0;0.0
1;400;VEV_5400;16;25;;;;;18;25;;;;;17.0;0.0
1;400;VEV_4000;1237;7;1234;15;;;1258;7;1260;15;;;1247.5;0.0
1;400;VEV_5100;165;10;164;22;;;169;10;170;22;;;167.0;0.0
1;400;VEV_5200;96;10;95;22;;;99;32;;;;;97.5;0.0
1;400;VEV_5500;7;25;;;;;8;25;;;;;7.5;0.0
1;400;VEV_4500;739;10;738;22;;;755;10;757;22;;;747.0;0.0
1;500;VEV_5000;250;28;;;;;256;6;257;22;;;253.0;0.0
1;500;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
1;500;VEV_5400;16;21;;;;;18;21;;;;;17.0;0.0
1;500;VEV_6500;0;19;;;;;1;19;;;;;0.5;0.0
1;500;VEV_5300;47;21;;;;;49;21;;;;;48.0;0.0
1;500;VEV_4000;1237;7;1234;20;;;1258;7;1260;20;;;1247.5;0.0
1;500;VEV_5200;96;6;95;22;;;98;6;99;22;;;97.0;0.0
1;500;VEV_5100;165;6;164;22;;;169;28;;;;;167.0;0.0
1;500;HYDROGEL_PACK;9955;13;9952;23;;;9971;13;9973;23;;;9963.0;0.0
1;500;VEV_4500;739;6;737;22;;;755;6;757;22;;;747.0;0.0
1;500;VEV_5500;7;21;;;;;8;21;;;;;7.5;0.0
1;500;VELVETFRUIT_EXTRACT;5245;17;5244;34;;;5250;51;;;;;5247.5;0.0
1;600;VEV_5400;16;23;;;;;18;23;;;;;17.0;0.0
1;600;VEV_6500;0;16;;;;;1;16;;;;;0.5;0.0
1;600;VEV_5300;47;6;46;17;;;49;23;;;;;48.0;0.0
1;600;VEV_4000;1236;12;1234;18;;;1257;12;1260;18;;;1246.5;0.0
1;600;VEV_5200;95;25;;;;;98;12;99;13;;;96.5;0.0
1;600;VEV_5100;164;25;;;;;169;25;;;;;166.5;0.0
1;600;VEV_4500;739;12;737;13;;;755;12;757;13;;;747.0;0.0
1;600;VEV_5500;7;23;;;;;8;23;;;;;7.5;0.0
1;600;VELVETFRUIT_EXTRACT;5244;56;;;;;5246;14;5249;17;5250;39;5245.0;0.0
1;600;HYDROGEL_PACK;9956;15;9954;28;;;9972;15;9975;28;;;9964.0;0.0
1;600;VEV_5000;250;12;249;13;;;256;12;257;13;;;253.0;0.0
1;600;VEV_6000;0;23;;;;;1;23;;;;;0.5;0.0
1;700;VEV_4500;737;6;736;15;;;753;6;755;15;;;745.0;0.0
1;700;VEV_5500;7;21;;;;;8;21;;;;;7.5;0.0
1;700;VELVETFRUIT_EXTRACT;5243;15;5242;43;;;5248;58;;;;;5245.5;0.0
1;700;VEV_5000;249;6;248;15;;;255;21;;;;;252.0;0.0
1;700;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
1;700;VEV_5400;16;21;;;;;17;21;;;;;16.5;0.0
1;700;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
1;700;VEV_5300;46;21;;;;;48;21;;;;;47.0;0.0
1;700;VEV_4000;1235;12;1232;30;;;1256;12;1258;30;;;1245.5;0.0
1;700;VEV_5200;94;21;;;;;97;6;98;15;;;95.5;0.0
1;700;VEV_5100;163;21;;;;;168;21;;;;;165.5;0.0
1;700;HYDROGEL_PACK;9956;11;9954;22;;;9972;11;9975;22;;;9964.0;0.0
1;800;VELVETFRUIT_EXTRACT;5243;20;5242;45;;;5248;20;5249;45;;;5245.5;0.0
1;800;HYDROGEL_PACK;9954;13;9952;24;;;9970;13;9973;24;;;9962.0;0.0
1;800;VEV_5000;249;7;248;12;;;255;7;256;12;;;252.0;0.0
1;800;VEV_6000;0;24;;;;;1;24;;;;;0.5;0.0
1;800;VEV_5400;16;24;;;;;17;24;;;;;16.5;0.0
1;800;VEV_6500;0;11;;;;;1;11;;;;;0.5;0.0
1;800;VEV_5300;46;24;;;;;48;24;;;;;47.0;0.0
1;800;VEV_4000;1235;12;1233;22;;;1256;12;1259;22;;;1245.5;0.0
1;800;VEV_5200;95;7;94;12;;;97;7;98;12;;;96.0;0.0
1;800;VEV_5100;163;19;;;;;168;19;;;;;165.5;0.0
1;800;VEV_4500;738;7;736;12;;;754;7;755;12;;;746.0;0.0
1;800;VEV_5500;7;24;;;;;8;24;;;;;7.5;0.0
1;900;VEV_5000;249;9;248;12;;;255;21;;;;;252.0;0.0
1;900;VEV_6000;0;22;;;;;1;22;;;;;0.5;0.0
1;900;VEV_5400;16;22;;;;;17;22;;;;;16.5;0.0
1;900;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
1;900;HYDROGEL_PACK;9953;12;9951;20;;;9969;12;9972;20;;;9961.0;0.0
1;900;VEV_5300;46;22;;;;;48;22;;;;;47.0;0.0
1;900;VEV_4000;1235;13;1232;20;;;1256;13;1258;20;;;1245.5;0.0
1;900;VEV_5200;94;21;;;;;97;9;98;12;;;95.5;0.0
1;900;VEV_5100;163;21;;;;;168;21;;;;;165.5;0.0
1;900;VEV_4500;737;9;736;12;;;753;9;755;12;;;745.0;0.0
1;900;VEV_5500;7;22;;;;;8;22;;;;;7.5;0.0
1;900;VELVETFRUIT_EXTRACT;5243;22;5242;30;;;5248;22;5249;30;;;5245.5;0.0
1;1000;VEV_5400;16;27;;;;;18;27;;;;;17.0;0.0
1;1000;VEV_6500;0;13;;;;;1;13;;;;;0.5;0.0
1;1000;VEV_5300;47;27;;;;;49;27;;;;;48.0;0.0
1;1000;VEV_4000;1236;11;1234;26;;;1257;11;1260;26;;;1246.5;0.0
1;1000;VEV_5200;95;35;;;;;98;11;99;24;;;96.5;0.0
1;1000;VEV_5100;165;11;164;24;;;169;35;;;;;167.0;0.0
1;1000;VEV_4500;739;11;737;24;;;755;11;757;24;;;747.0;0.0
1;1000;VEV_5500;7;27;;;;;8;27;;;;;7.5;0.0
1;1000;HYDROGEL_PACK;9951;14;9949;30;;;9967;14;9970;30;;;9959.0;0.0
1;1000;VELVETFRUIT_EXTRACT;5244;55;;;;;5250;55;;;;;5247.0;0.0
1;1000;VEV_5000;250;35;;;;;256;11;257;24;;;253.0;0.0
1;1000;VEV_6000;0;27;;;;;1;27;;;;;0.5;0.0
1;1100;VEV_4500;739;11;737;14;;;755;11;757;14;;;747.0;0.0
1;1100;VEV_5500;7;22;;;;;8;22;;;;;7.5;0.0
1;1100;VELVETFRUIT_EXTRACT;5245;25;5244;44;;;5250;69;;;;;5247.5;0.0
1;1100;VEV_5000;250;25;;;;;256;11;257;14;;;253.0;0.0
1;1100;VEV_6000;0;22;;;;;1;22;;;;;0.5;0.0
1;1100;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
1;1100;VEV_5400;16;22;;;;;18;22;;;;;17.0;0.0
1;1100;HYDROGEL_PACK;9954;15;9951;21;;;9970;15;9972;21;;;9962.0;0.0
1;1100;VEV_5300;47;22;;;;;49;22;;;;;48.0;0.0
1;1100;VEV_5200;96;11;95;14;;;98;11;99;14;;;97.0;0.0
1;1100;VEV_4000;1237;9;1234;23;;;1258;9;1260;23;;;1247.5;0.0
1;1100;VEV_5100;165;11;164;14;;;169;25;;;;;167.0;0.0
1;1200;HYDROGEL_PACK;9954;10;9951;22;;;9969;10;9972;22;;;9961.5;0.0
1;1200;VEV_6000;0;22;;;;;1;22;;;;;0.5;0.0
1;1200;VELVETFRUIT_EXTRACT;5246;63;;;;;5251;15;5252;48;;;5248.5;0.0
1;1200;VEV_5000;252;11;251;21;;;258;32;;;;;255.0;0.0
1;1200;VEV_5400;17;22;;;;;18;22;;;;;17.5;0.0
1;1200;VEV_5300;47;22;;;;;50;22;;;;;48.5;0.0
1;1200;VEV_5200;96;32;;;;;99;11;100;21;;;97.5;0.0
1;1200;VEV_4000;1238;7;1236;16;;;1259;7;1262;16;;;1248.5;0.0
1;1200;VEV_5100;166;11;165;21;;;170;11;171;21;;;168.0;0.0
1;1200;VEV_4500;741;11;739;21;;;757;11;759;21;;;749.0;0.0
1;1200;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
1;1200;VEV_5500;7;22;;;;;8;22;;;;;7.5;0.0
1;1300;VEV_5000;252;26;;;;;258;8;259;18;;;255.0;0.0
1;1300;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
1;1300;VEV_5400;17;17;;;;;18;17;;;;;17.5;0.0
1;1300;HYDROGEL_PACK;9953;11;9950;25;;;9969;11;9971;25;;;9961.0;0.0
1;1300;VEV_5300;48;5;47;12;;;50;17;;;;;49.0;0.0
1;1300;VEV_5200;97;26;;;;;100;26;;;;;98.5;0.0
1;1300;VEV_6000;0;17;;;;;1;17;;;;;0.5;0.0
1;1300;VEV_4000;1239;13;1236;29;;;1260;13;1262;29;;;1249.5;0.0
1;1300;VEV_5100;166;26;;;;;171;26;;;;;168.5;0.0
1;1300;VEV_4500;741;8;739;18;;;757;8;759;18;;;749.0;0.0
1;1300;VEV_5500;7;17;;;;;9;17;;;;;8.0;0.0
1;1300;VELVETFRUIT_EXTRACT;5247;20;5246;46;;;5252;66;;;;;5249.5;0.0
1;1400;VEV_5400;17;23;;;;;18;23;;;;;17.5;0.0
1;1400;VEV_5300;48;23;;;;;50;8;51;15;;;49.0;0.0
1;1400;VEV_5200;98;36;;;;;101;36;;;;;99.5;0.0
1;1400;VEV_4000;1240;8;1238;29;;;1261;8;1264;29;;;1250.5;0.0
1;1400;VEV_5100;168;12;167;24;;;172;12;173;24;;;170.0;0.0
1;1400;VEV_4500;743;12;741;24;;;759;12;761;24;;;751.0;0.0
1;1400;VEV_6500;0;19;;;;;1;19;;;;;0.5;0.0
1;1400;VEV_5500;7;23;;;;;9;23;;;;;8.0;0.0
1;1400;HYDROGEL_PACK;9954;13;9952;23;;;9970;13;9972;23;;;9962.0;0.0
1;1400;VEV_6000;0;23;;;;;1;23;;;;;0.5;0.0
1;1400;VELVETFRUIT_EXTRACT;5248;64;;;;;5254;64;;;;;5251.0;0.0
1;1400;VEV_5000;254;12;253;24;;;260;12;261;24;;;257.0;0.0
1;1500;VEV_4500;743;11;741;17;;;759;11;761;17;;;751.0;0.0
1;1500;VEV_5500;7;25;;;;;9;25;;;;;8.0;0.0
1;1500;VELVETFRUIT_EXTRACT;5248;73;;;;;5253;25;5254;48;;;5250.5;0.0
1;1500;VEV_5000;254;11;253;17;;;260;11;261;17;;;257.0;0.0
1;1500;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
1;1500;VEV_5400;17;25;;;;;18;25;;;;;17.5;0.0
1;1500;HYDROGEL_PACK;9957;10;9954;20;;;9973;10;9975;20;;;9965.0;0.0
1;1500;VEV_5300;48;25;;;;;50;25;;;;;49.0;0.0
1;1500;VEV_5200;98;28;;;;;101;28;;;;;99.5;0.0
1;1500;VEV_6000;0;25;;;;;1;25;;;;;0.5;0.0
1;1500;VEV_4000;1240;13;1238;30;;;1261;13;1264;30;;;1250.5;0.0
1;1500;VEV_5100;168;11;167;17;;;172;28;;;;;170.0;0.0
1;1600;HYDROGEL_PACK;9957;11;9954;28;;;9973;11;9975;28;;;9965.0;0.0
1;1600;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
1;1600;VELVETFRUIT_EXTRACT;5248;18;5247;33;;;5253;51;;;;;5250.5;0.0
1;1600;VEV_5000;253;6;252;17;;;259;6;260;17;;;256.0;0.0
1;1600;VEV_5500;7;21;;;;;9;21;;;;;8.0;0.0
1;1600;VEV_4000;1240;15;1237;17;;;1261;15;1263;17;;;1250.5;0.0
1;1600;VEV_5100;167;23;;;;;171;6;172;17;;;169.0;0.0
1;1600;VEV_5200;97;23;;;;;100;6;101;17;;;98.5;0.0
1;1600;VEV_5300;48;21;;;;;50;21;;;;;49.0;0.0
1;1600;VEV_4500;742;6;740;17;;;758;6;760;17;;;750.0;0.0
1;1600;VEV_5400;17;21;;;;;18;21;;;;;17.5;0.0
1;1600;VEV_6500;0;15;;;;;1;15;;;;;0.5;0.0
1;1700;VEV_5100;168;31;;;;;172;7;173;24;;;170.0;0.0
1;1700;VEV_5200;98;31;;;;;101;31;;;;;99.5;0.0
